stock_symbol,week_start_date,week_end_date,weekly_volume,volume_multiple,rsi_value
ALMONDZ,2020-11-16,2020-11-22,969654,3.5373985371103367,71.13401950362237
ALOKINDS,2020-05-18,2020-05-24,81438155,4.3134855126138945,66.14285852568497
ALPA,2020-07-27,2020-08-02,2074708,4.1649387266341655,61.500004243851926
ALPHAGEO,2024-06-10,2024-06-16,606528,3.915850229678386,57.77909560475559
ALPSINDUS,2022-04-18,2022-04-24,675131,7.01504044555047,56.19834691202631
ALPSINDUS,2024-04-08,2024-04-14,635990,8.243462481502684,50.0
AMBER,2020-08-03,2020-08-09,1230539,4.206561070117954,76.59334461364918
AMBER,2021-08-30,2021-09-05,727565,3.774620388392328,70.40351279584843
AMBUJACEM,2022-08-15,2022-08-21,61799708,3.4968653208022236,88.12930009774124
AMIORG,2022-11-28,2022-12-04,1432408,6.490054362887947,49.99509072638817
ANANDRATHI,2023-01-02,2023-01-08,664181,4.3394167339978615,71.42920138959322
ANANTRAJ,2022-07-18,2022-07-24,15052611,5.358165079746279,57.350431927422136
ANANTRAJ,2023-06-12,2023-06-18,14600675,3.057082407279679,87.61903606973972
ANDHRAPAP,2020-06-01,2020-06-07,708260,4.9615411558669,50.07404678788157
ANDHRAPAP,2022-08-01,2022-08-07,7410350,6.414267681321455,60.484481493651806
ANDHRAPAP,2024-06-10,2024-06-16,7697400,3.479513472036018,58.21545494078447
ANDHRSUGAR,2023-08-28,2023-09-03,3376705,3.225793251927294,54.3478445705235
ANGELONE,2021-05-03,2021-05-09,16835211,11.377424458666766,82.7398083955083
ANGELONE,2022-01-17,2022-01-23,10011531,4.524045851716834,44.08224681298282
ANGELONE,2022-09-05,2022-09-11,7050742,3.651417317220913,54.68887602964665
ANKITMETAL,2021-10-18,2021-10-24,2601268,5.318408158550336,81.03448091590879
ANKITMETAL,2023-09-11,2023-09-17,1267622,5.213983785762567,63.38028254146687
ANMOL,2023-04-17,2023-04-23,3599825,3.3414966765188883,86.72758506521214
ANTGRAPHIC,2022-01-17,2022-01-23,7958419,4.454313230651091,89.58333178112917
APARINDS,2024-01-29,2024-02-04,1868325,3.1293478867734907,67.19896924836098
APCL,2021-05-17,2021-05-23,2491027,13.740261674407316,68.48340514599155
APCOTEXIND,2021-04-26,2021-05-02,2990529,4.575008452324555,78.71189923506216
APCOTEXIND,2021-09-06,2021-09-12,2571757,3.8853858974258904,66.13532269467629
APCOTEXIND,2022-04-18,2022-04-24,2541221,11.41402756765214,71.82499802977091
APLAPOLLO,2021-11-08,2021-11-14,9552454,3.3152259752546387,54.45690292169053
APLLTD,2023-06-05,2023-06-11,2796966,3.8268043287060105,75.80260471691025
APOLLOHOSP,2023-05-29,2023-06-04,6304895,3.6188385927103917,66.14755687766163
