Stock Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Profit/Loss,Profit/Loss %,Profit or Loss,Days in Trade,Volume Multiple,RSI Value,Weekly Volume
BASF,2021-05-07,2421.00244140625,2021-08-06,3339.741455078125,918.739013671875,37.94870248615783,Profit,91,4.580832518212096,72.24167149209251,878877
BBTC,2022-12-02,1003.5071411132812,2023-10-20,1418.4378662109375,414.93072509765625,41.34805903198018,Profit,322,4.598848924303424,62.475245786941876,1154098
BBL,2022-10-28,1183.95263671875,2023-03-28,1187.5164794921875,3.5638427734375,0.3010122755682687,Profit,151,6.5964926606209655,75.9580197555499,915558
BHEL,2021-05-07,57.15550231933594,2021-08-04,57.353271484375,0.1977691650390625,0.34601946796670724,Profit,89,3.7070095584428877,70.57710505562551,731183580
BGRENERGY,2024-12-13,66.75,2024-12-24,93.87999725341797,27.12999725341797,40.64419064182467,Profit,11,5.926727547476995,62.420647338303354,6436112
BEL,2022-07-22,86.0543441772461,2023-01-30,86.5405502319336,0.4862060546875,0.5649988496641889,Profit,192,3.2596612248020267,57.7315583354391,245700231
BFINVEST,2023-02-10,520.4000244140625,2024-03-13,498.70001220703125,-21.70001220703125,-4.169871481359766,Loss,397,4.264849360163246,77.60877225001425,2431751
BHARATWIRE,2023-01-20,115.19999694824219,2023-04-03,157.60000610351562,42.40000915527344,36.80556447785601,Profit,73,3.4154701075326677,47.249189851805006,2708042
BIGBLOC,2021-11-12,18.511701583862305,2021-11-18,21.159042358398438,2.647340774536133,14.300904552415483,Profit,6,4.629522080271636,84.31741745303269,10593990
BECTORFOOD,2022-08-05,333.8369445800781,2023-01-19,472.0823059082031,138.245361328125,41.411043197156935,Profit,167,3.107511086727466,60.34376447722122,2042855
BHANDARI,2021-01-01,2.776979684829712,2021-01-15,3.8781960010528564,1.1012163162231445,39.65518085130222,Profit,14,3.299632650295761,89.36167710564996,4796979
BEDMUTHA,2021-12-10,76.4000015258789,2022-02-14,75.8499984741211,-0.5500030517578125,-0.7198992680275129,Loss,66,3.945823871434632,79.03579384383069,632484
BAJAJ-AUTO,2021-01-22,3666.824951171875,2023-09-15,5089.13916015625,1422.314208984375,38.788713067140534,Profit,966,3.5577512625588663,86.39102336724261,11808483
BIGBLOC,2022-11-11,79.44410705566406,2024-02-15,111.9315185546875,32.48741149902344,40.89341891181495,Profit,461,3.3184404613398115,71.25042120500937,1819554
BIRLAMONEY,2024-10-18,177.44000244140625,2024-12-16,240.99000549316406,63.55000305175781,35.81492458147544,Profit,59,4.526134465718813,59.36345620942137,1093932
BIL,2023-12-08,370.75,2024-03-19,256.20001220703125,-114.54998779296875,-30.896827455959208,Loss,102,14.41454940409107,86.93816625054545,1234253
